timestamp	player	primary	rtt	rtt_max	gap	jitter	cmd_resp	cmd_upload	server_queue	commands	burst	frame_gap	frame_work	renderer	server_tick	server_lag	slow_count	payload_p95	over_budget	pred_mode	pred_ticks
2026-06-30T00:21:45.911487Z	7	command_upload_delay	37	288	364	10	363	351	35	18	2	17	7	5	6	0	10	4096	10000	resyncing	2
2026-06-30T00:21:55.637926Z	9	command_upload_delay	14	552	625	14	226	226	50	12	4	9	4	3	5	0	10	4096	10000	disabled	0
2026-06-30T00:21:56.067288Z	7	command_upload_delay	31	375	532	33	520	520	33	10	2	17	8	8	4	0	10	3072	10000	resyncing	2
2026-06-30T00:22:05.361564Z	9	command_upload_delay	67	361	574	33	565	564	160	16	4	9	4	3	5	0	10	6144	10000	disabled	0
2026-06-30T00:22:05.791744Z	7	command_upload_delay	164	317	351	33	463	460	33	9	2	17	7	6	6	1	10	4096	10000	resyncing	2
2026-06-30T00:22:15.348774Z	9	command_upload_delay	118	375	501	35	640	630	55	11	7	10	4	3	7	0	10	6144	10000	disabled	0
2026-06-30T00:22:15.795482Z	7	command_upload_delay	51	365	636	33	386	383	58	14	3	17	7	6	5	0	10	4096	10000	resyncing	2
2026-06-30T00:22:25.345050Z	9	command_server_queue	81	425	483	49	131	123	74	15	6	9	4	3	6	0	11	6144	10000	disabled	0
2026-06-30T00:22:25.797895Z	7	command_server_queue	95	95	401	4	274	143	239	7	3	17	7	6	5	0	11	4096	10000	resyncing	3
2026-06-30T00:22:35.514445Z	9	command_server_queue	377	377	406	14	250	140	178	24	6	10	4	3	5	0	11	6144	10000	disabled	0
2026-06-30T00:22:35.988758Z	7	command_upload_delay	255	783	933	12	890	890	32	8	2	17	7	6	8	1	11	4096	10000	resyncing	1
2026-06-30T00:22:45.623705Z	9	command_upload_delay	368	368	450	43	515	514	407	13	2	9	5	4	5	0	15	6144	10000	disabled	0
2026-06-30T00:22:45.811790Z	7	command_upload_delay	31	266	514	112	382	382	87	13	5	17	7	6	6	0	15	6144	10000	resyncing	3
2026-06-30T00:22:55.348195Z	9	command_upload_delay	41	394	393	34	395	373	166	35	4	17	9	8	5	0	15	6144	10000	disabled	0
2026-06-30T00:22:55.939337Z	7	command_upload_delay	34	67	366	143	299	299	32	6	1	17	8	6	5	1	15	4096	10000	resyncing	1
2026-06-30T00:23:05.344569Z	9	command_upload_delay	17	59	402	33	408	395	394	13	2	17	4	4	6	0	15	6144	10000	disabled	0
2026-06-30T00:23:05.877086Z	7	command_response_delay	70	153	401	33	195	169	33	10	2	17	7	7	7	1	15	4096	10000	predicting	1
2026-06-30T00:23:15.421063Z	9	command_upload_delay	192	248	410	67	206	189	76	17	4	17	8	7	5	0	15	6144	10000	disabled	0
2026-06-30T00:23:15.909607Z	7	command_upload_delay	65	303	467	147	284	270	46	6	2	17	10	9	6	0	15	6144	10000	resyncing	2
2026-06-30T00:23:25.345182Z	9	command_upload_delay	74	125	441	13	498	484	101	20	2	9	8	7	6	0	15	6144	10000	disabled	0
2026-06-30T00:23:26.004777Z	7	command_upload_delay	33	283	432	33	445	213	416	9	2	17	9	6	6	0	15	6144	10000	predicting	1
2026-06-30T00:23:35.342479Z	9	command_upload_delay	446	446	392	11	204	195	108	14	2	17	8	7	6	0	15	6144	10000	disabled	0
2026-06-30T00:23:35.861894Z	7	command_upload_delay	34	37	467	248	314	314	34	12	2	17	8	6	5	0	15	6144	10000	resyncing	2
2026-06-30T00:23:45.351893Z	9	packet_budget_pressure	117	117	465	8	86	86	40	6	2	9	8	7	6	0	15	6144	10000	disabled	0
2026-06-30T00:23:45.990341Z	7	command_upload_delay	34	352	551	50	434	434	165	18	2	17	9	8	7	0	15	6144	10000	resyncing	3
2026-06-30T00:23:55.342228Z	9	command_upload_delay	32	382	418	27	408	402	34	13	6	9	8	8	6	0	15	6144	10000	disabled	0
2026-06-30T00:23:55.902788Z	7	command_server_queue	27	137	435	2	187	70	155	2	2	17	7	7	7	0	15	6144	10000	resyncing	1
2026-06-30T00:24:05.341034Z	9	command_upload_delay	143	1385	1318	33	1533	1533	91	6	2	18	8	7	6	0	15	6144	10000	disabled	0
2026-06-30T00:24:05.903511Z	7	command_upload_delay	225	256	465	219	272	268	45	18	9	17	8	6	6	0	15	6144	10000	resyncing	5
2026-06-30T00:24:15.748242Z	9	command_server_queue	18	273	359	9	325	124	201	7	2	17	8	7	6	0	15	6144	10000	disabled	0
2026-06-30T00:24:15.914929Z	7	command_upload_delay	34	359	429	67	265	265	52	14	2	17	13	12	5	0	15	6144	10000	resyncing	2
2026-06-30T00:24:25.345684Z	9	command_upload_delay	174	434	344	1	366	342	167	22	6	17	8	7	7	0	15	6144	10000	disabled	0
2026-06-30T00:24:25.919749Z	7	command_upload_delay	35	338	623	33	471	470	52	8	2	17	9	7	7	0	15	6144	10000	resyncing	1
2026-06-30T00:24:35.373638Z	9	command_upload_delay	159	267	399	29	424	407	40	14	2	17	8	7	6	0	15	6144	10000	disabled	0
2026-06-30T00:24:35.932822Z	7	command_upload_delay	33	190	452	33	400	400	36	5	2	17	13	8	7	0	15	6144	10000	resyncing	2
2026-06-30T00:24:45.348075Z	9	packet_budget_pressure	17	349	418	42	108	84	35	6	2	17	7	5	6	0	15	6144	10000	disabled	0
2026-06-30T00:24:46.170028Z	7	command_upload_delay	67	206	481	12	886	886	178	25	2	17	8	7	6	0	15	6144	10000	resyncing	5
2026-06-30T00:24:55.486724Z	9	command_upload_delay	41	72	384	215	334	325	37	12	2	17	8	7	9	0	15	6144	10000	disabled	0
2026-06-30T00:24:55.949572Z	7	command_upload_delay	36	421	435	283	270	269	54	9	2	17	8	7	7	0	15	6144	10000	resyncing	1
2026-06-30T00:25:05.593017Z	9	command_upload_delay	417	510	584	41	492	484	33	10	3	17	8	5	9	1	17	6144	10000	disabled	0
